0.305142230822948,ITA,region
0.2895613054276961,ITA,province
0.305296463749356,ITA,city
0.1,ITA,country
0.2412246251810319,FRA,province
0.3190570354947317,FRA,region
0.3397183393242364,FRA,city
0.1,FRA,country
0.3671332435803223,ESP,province
0.35387190242728145,ESP,region
0.17899485399239637,ESP,city
0.1,ESP,country
0.3147646726158619,GBR,city
0.29407908576749664,GBR,region
0.2911562416166415,GBR,province
0.1,GBR,country
0.29100979063581817,DEU,city
0.3025555569365485,DEU,region
0.30643465242763335,DEU,province
0.1,DEU,country